iso3c,n_amr_events,n_amr_first_events,health_expend_perc,migrant_pop_per_capita,population,ab_export_bin,english_spoken,human_consumption_ddd,livestock_pcu,ab_export_per_capita,ab_import_per_capita,livestock_consumption_kg_per_capita,livestock_consumption_kg_per_pcu,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubcrawl_per_capita,promed_mentions_per_capita
BDI,NA,NA,6.57857561,0.028229236240744863,10160034,1,1,NA,346505211.6,9.842486747583719e-8,0.02868090795759148,NA,NA,305.54964602324463,NA,NA,1.7173474970654624e-6,1.5029477263560337e-4
CPV,NA,NA,4.81784487,0.0284407516103213,524740,0,0,NA,30233117.37,NA,0.0518733086862065,NA,NA,3043.03138156811,NA,NA,0,7.470366276632237e-4
KHM,NA,NA,6.19431591,0.004765216618179956,15521435,1,0,NA,1056248630,1.1145876653801661e-5,0.39252762389559986,NA,NA,1162.9049948944862,NA,NA,2.2269639244051854e-6,1.691853878201339e-4
CMR,NA,NA,3.74885845,0.016395305835908907,23298376,1,1,NA,1778680049,6.00900251588351e-7,0.004846560979185845,NA,NA,1327.502561288126,NA,0.03850053754819649,1.0186009737331047e-5,3.7238647019860954e-4
CAN,98,53,10.68328094,0.21946397195432932,35702908,1,1,7.2478880882263184,15527476985,0.2420303130490099,5.853887756145802,0.02656971247272071,6.109273263881769e-5,43596.13553655461,1.567687427589932,0.7717858724561035,1.0646707833994923e-4,2.7104234758692483e-4
CAF,NA,NA,5.03434181,0.01816044837821663,4493171,0,0,NA,1493059154,NA,0.0033437409793662426,NA,NA,377.42291896808064,NA,NA,1.295270346042917e-5,1.758223757787095e-4
TCD,NA,NA,4.52395248,0.03663589132172407,14110971,0,0,NA,1920425328,NA,0.005768561213824336,NA,NA,776.0197522842617,NA,NA,8.503334426808759e-6,2.264195709848741e-4
CHL,4,0,8.30269146,0.026124252866936357,17969356,1,1,4.3172869682312012,4761370300,0.012625438552166255,3.1902943544554407,0.03513197690557191,1.3258767124245724e-4,13574.1692377497,0.2283331689794559,0.3053531801584876,1.9554708065219476e-5,1.0801722666076625e-4
CHN,120,78,4.8887229,7.13267017692274e-4,1371220000,1,0,3.0258612632751465,209699000000,2.4861596199005267,0.24504595907294235,0.03060558918335497,2.0012969065183906e-4,8066.942634932031,NA,0.09759192543866047,6.215865675821531e-6,1.6365718119630692e-5
COL,15,9,7.52338552,0.0028016020903073604,47520667,1,0,2.8694586753845215,15933058617,0.031793956090725745,1.4476183173102348,NA,NA,6175.876029702592,NA,0.10054572676768195,7.714424115722113e-6,4.570642916270514e-5
COM,NA,NA,4.73517609,0.016149260066757994,777435,0,0,NA,14404684.45,NA,0.0012824223246959553,NA,NA,1242.5856821486402,NA,NA,0,3.6916269527355984e-4
COG,NA,NA,3.41535068,0.08092843361937262,4856093,0,0,NA,136876185.1,NA,0.032542416300511544,NA,NA,2447.539308257276,NA,0.04612761740765673,7.641719569621094e-6,1.9377717848484367e-4
CRI,NA,NA,7.82285929,0.08698720348693893,4847805,1,1,NA,1109976803,0.08498093467043331,0.5838966295055185,NA,NA,11642.778051712312,NA,0.5980026011772338,5.976115472878963e-6,1.3160595362230948e-4
HRV,20,4,6.78635979,0.13723533425127582,4203604,1,0,10.596867561340332,559854600.4,10.560952220998933,7.8781652600958605,0.005028304283657547,3.7754445502275456e-5,11781.734793242871,1.0360157617130443,13.288121335882257,2.716140488019328e-5,7.136733146128893e-5
CUB,9,0,12.81401348,0.001177594931891374,11324777,1,0,NA,1141704711,0.017174996028619372,1.4146477233061632,NA,NA,7694.014637109411,NA,0.31258893662983384,1.0341013496336396e-5,4.3709469952476766e-5
CYP,NA,NA,6.92568588,0.16896571623971673,1160987,1,1,NA,33247443.68,5.594442487297446,19.946480882214875,0.0391330824548423,0.001366511074874915,17090.978886837576,0.9638350817020346,2.3945143227271277,4.426600996393586e-5,2.041366526929242e-4
CZE,18,5,7.24275684,0.03841178965526364,10546059,1,0,7.4572782516479492,1593800776,1.73792627179499,1.5376014869630448,0.004193699276668184,2.7749390429459797e-5,17829.698322366774,NA,2.807114961143305,4.362225105131689e-5,4.342854520347364e-5
CIV,NA,NA,4.42198133,0.09366163515362082,23226148,1,0,NA,740161019.5,4.736041464990235e-7,0.05482364101012359,NA,NA,1972.5456830583576,NA,0.06204214319137207,5.813658506782958e-6,1.371729827950808e-4
DNK,11,5,10.22716618,0.10073400413091761,5683483,1,0,6.7180066108703613,4140107624,33.19021768869547,3.443900861496375,0.01655358166814258,2.2724530022990532e-5,53254.85637009154,NA,4.9633297046898885,8.148016503260413e-5,1.8808888845097275e-4
DJI,NA,NA,3.07555771,0.1229225884520535,913998,0,0,NA,68787124.61,NA,0.7453615872244796,NA,NA,2658.9642067343475,NA,NA,3.934938577546122e-6,1.2800903284252262e-4
DMA,NA,NA,5.1857729,0.09441517386722866,71175,0,1,NA,7016358.934,NA,0.7160660344221988,NA,NA,7597.288894092547,NA,5.029855988760098,0,0.004411661397962768
DOM,NA,NA,5.78464127,0.04041792801270221,10281675,1,0,2.4403276443481445,2293556833,0.07426416415613214,0.8892841876445229,NA,NA,6921.520594327763,NA,0.5961090970099716,6.31610231017806e-6,1.467659695526264e-4
COD,NA,NA,3.99593234,0.007157155873158222,76244532,0,0,NA,483411141.5,NA,0.02910784474354174,NA,NA,497.3170390773649,NA,NA,4.100911789975969e-6,2.940276425331065e-4
ECU,NA,NA,8.58845711,0.023902817304343654,16212022,1,0,6.6542634963989258,4231842694,0.022445442030611603,1.8638879221851536,NA,NA,6124.490887071335,NA,0.09523796599831902,6.434005918570799e-6,8.197620259829403e-5
EGY,35,7,5.33657265,0.0053183626513803725,92442549,1,1,9.1040182113647461,5513773300,0.003889897064608203,1.7480278156328208,NA,NA,3562.9326579842254,NA,0.10090591508894892,5.249572369537323e-6,7.056274486762584e-5
SLV,NA,NA,7.63034058,0.006647303664230297,6325121,1,0,NA,701559601.1,0.020187597992196514,1.1680829505079824,NA,NA,3705.5797035345254,0.2558053830116451,0.31193079152161673,4.4979768228939805e-6,1.2063010336086852e-4
GNQ,NA,NA,2.91533971,0.009263419121579701,1168575,1,0,NA,3175916.879,5.8190531202533e-5,0.012415976723787518,NA,NA,11283.398054387182,NA,NA,3.212754747448816e-6,1.480435573240913e-4
ERI,NA,NA,4.4600234,NA,NA,NA,1,NA,384123369.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,NA,NA,6.34629202,0.15382919507042306,1315407,1,0,4.3686060905456543,264728317.4,0.0932084138217297,3.841847428210432,0.004764304888144886,2.367332690945438e-5,17529.278343691498,NA,4.3302187079740335,3.149424613826747e-5,2.1134143272766529e-4
SWZ,NA,NA,7.03397036,0.02860318213684674,1104038,1,1,NA,NA,0.08094830069254863,0.13863290937449615,NA,NA,3679.819797712443,NA,1.1376420014528486,2.7037745077615083e-6,1.820589508694447e-4
ETH,NA,NA,3.82316828,0.010640592847834977,100835453,1,1,NA,11155146022,9.934997763137931e-5,0.1372327449156201,NA,NA,640.5419230754217,NA,NA,1.6313251788535128e-6,1.315013678770303e-5
FJI,NA,NA,3.32468939,0.01583063944224942,868632,0,1,NA,266493235.1,NA,0.0023036222473959054,NA,NA,5390.714207030849,NA,1.0004236546661878,0,1.922563294928117e-4
FIN,13,2,9.64523888,0.05764745194433611,5479531,1,0,7.1919441223144531,1189130840,0.06232540704669798,0.14773070906980906,0.0017913941904882005,8.254768667844827e-6,42801.9081167286,1.8289886488460418,NA,2.365714357670392e-4,1.1095840136683231e-4
FRA,67,49,11.46616745,0.11697400647758367,66548272,1,0,12.889975547790527,18978265247,2.2991825092017417,10.00976420544774,0.007268287897843538,2.5486628714732497e-5,36652.922305217784,0.459936810981358,3.0549553563163894,6.0109593048486665e-5,8.76957406196813e-5
GAB,NA,NA,2.65743947,0.1377960558405085,1947690,1,0,NA,40308103.52,0.00685684066766272,2.2590864049207013e-5,NA,NA,7384.700703930707,NA,NA,1.8031875303564737e-5,3.116512381333785e-4
GMB,NA,NA,3.17612934,0.092307249767482,2085860,1,1,NA,97989942.62,3.835348489352114e-6,0.015537476148926583,NA,NA,660.7235712443213,NA,NA,2.478332993105961e-6,1.816996346830564e-4
GEO,NA,NA,7.93235874,0.045312615763234726,3725276,1,0,NA,249918168.4,5.905602698967808e-6,0.09474895282926687,NA,NA,4014.1859441932893,NA,1.4109021720806727,9.393670458242557e-6,3.476252497801505e-4
DEU,21,2,11.17801952,0.14697255588189354,81686611,1,0,7.0636534690856934,19273172356,1.626508975871211,11.584385010170148,0.009400622581832902,3.9843207221718264e-5,41103.256436376825,NA,NA,7.710681312265482e-5,8.345308878097538e-5
GHA,NA,NA,4.62171459,0.014344072970418578,27849203,0,0,NA,752984106.5,NA,0.6230907218422014,NA,NA,1705.5750820451917,NA,NA,1.2994609317903998e-5,1.4194302077513672e-4
GRC,36,16,8.01678371,0.1148255646050327,10820883,1,1,14.629643440246582,1028824884,0.06796478623786986,5.6488001949563635,0.010785811102476572,1.1344204617819101e-4,18057.358097375694,NA,2.413296585870118,4.8128844956552985e-5,1.1616427236113726e-4
GRD,NA,NA,4.64675617,0.06438692371559172,109603,0,1,NA,3822402.424,NA,9.123837851153709e-6,NA,NA,9096.538652463218,NA,3.987117140954171,0,5.748017846226837e-4
GTM,NA,NA,5.85707808,0.004904602362151363,15567419,1,0,NA,2150058402,0.1782623696323713,0.5623636133902479,NA,NA,3994.6369128847437,0.07258749828728835,0.11980149053609979,3.897918748123886e-6,3.070515414276445e-5
GIN,NA,NA,5.80920601,0.019979975675501676,11432096,0,0,NA,1538906127,NA,0.0031062545311026078,NA,NA,769.2554754331611,NA,NA,2.6607304627252956e-6,0.0012631104567351428
GNB,NA,NA,8.59115314,0.012855693075148788,1737207,0,0,NA,189591580.2,NA,0.0010039102996937037,NA,NA,603.3993815477315,NA,NA,3.3384206297810223e-6,4.731733178602205e-4
GUY,NA,NA,5.36894894,0.020046049622572917,767433,1,1,NA,163581296.7,5.472790458580749e-5,0.029203852323264702,NA,NA,5576.826070397468,NA,NA,3.0507129312917217e-5,3.5703442515502983e-4
HTI,NA,NA,8.62852955,0.0036958395742524453,10695540,0,0,NA,586604616.4,NA,0.0033215714213588095,NA,NA,1389.1197792648525,NA,0.11126132948874017,2.106197342069685e-6,3.2611724139220647e-4
VAT,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,NA,NA,7.48378992,0.003080247525925874,9112904,1,0,NA,1609625411,6.298760526830966e-5,0.17449662588347248,NA,NA,2302.204410933156,0.1261946795445228,0.2296743167710315,2.6205435830334654e-6,6.353627778806844e-5
HUN,NA,NA,6.88948917,0.0456802520525188,9843028,1,1,7.2820863723754883,2144485078,9.294869221138049,2.113617679437669,0.01487276069924824,6.826487230050103e-5,12706.891214892408,1.7551509555799292,4.911598341485973,3.0242744539586802e-5,4.683518120643363e-5
ISL,NA,NA,8.13130188,0.11342291008569745,330815,1,1,NA,65524498.71,0.028115411937185437,20.71672989435183,0.001729063071505222,8.729559344384643e-6,52951.68151108989,NA,4.198721339721597,1.7653644698698668e-4,0.0036636790955670087
IND,127,100,3.59565997,0.004000267474228296,1310152392,1,0,4.957768440246582,44829106952,0.6629020610909208,0.7072926017296467,NA,NA,1605.605444570451,NA,NA,2.8258660264309163e-6,1.7919289498957768e-5
IDN,4,2,2.99113512,0.0012727063038763383,258383257,1,1,3.6412718296051025,14892863291,0.007711087874397372,0.3959005091417359,NA,NA,3331.6951146918896,NA,0.04027737757017282,4.52432027358491e-6,1.1471331518976866e-5
IRN,33,20,7.76057911,0.03473491279542041,78492208,1,0,NA,11608030425,0.014644663837205344,1.4393504766740668,0.023020068437876025,1.5565913715289044e-4,4904.3273148516855,0.08433958183467077,0.0667199984997237,1.078371441022528e-5,1.2319694204550852e-5
IRQ,NA,NA,3.14279079,0.009948226805549009,35572269,0,0,NA,1344729892,NA,0.06335395698261474,NA,NA,4688.318017434648,NA,NA,4.497871417760841e-6,5.2006803389460484e-5
IRL,38,13,7.31716299,0.15871263816321587,4701957,1,1,11.411356925964355,5035318762,138.00034049652092,32.74947006108307,0.020907039345532084,1.952289510286221e-5,62025.05778980285,1.5087334911825012,NA,4.322403884169932e-5,2.1522953102293366e-4
ISR,NA,NA,7.10652399,0.24006002315008174,8380100,1,1,NA,1720651519,1.813874655433706,4.537049915872125,NA,NA,35813.71340691412,NA,0.37099795945155783,4.633253982649372e-5,3.118101215975943e-4
ITA,59,41,8.85689163,0.0953205915266875,60730582,1,0,11.4661865234375,9329551949,12.86510499767646,26.070018611051676,0.017413368440961096,1.1335206725692245e-4,30242.386135218498,0.9454544664169363,1.334879352876941,7.933270377682202e-5,6.326301961011999e-5
JAM,NA,NA,5.62562609,0.008013423617375712,2891024,0,1,NA,463669605.4,NA,0.08820300350325698,NA,NA,4907.927415189013,NA,1.2770561572646923,9.918864059931707e-6,8.785814299708338e-5
JPN,75,46,10.88550663,0.01607567189183662,127141000,1,0,5.2991757392883301,12399026562,2.7534018687913417,2.9068015510338916,0.006625974311984332,6.794347893260042e-5,34524.46986093369,0.12752770546086628,0.15523709896886134,3.267650829394138e-5,3.4607247072148245e-5
JOR,NA,NA,7.59315777,0.33583353846130604,9266573,1,1,6.2964940071105957,522373901.3,0.23394754457769878,4.956400926210801,NA,NA,4164.108768940136,0.17622480284782735,0.5189620801562779,1.0792114895118184e-5,9.906574954948285e-5
KAZ,NA,NA,3.04051089,0.20217848843565847,17542806,1,1,7.5210442543029785,3257411919,2.964178022603682e-6,0.30085061648632494,NA,NA,10510.771888414829,0.6443096959517195,0.36653201317964756,2.9825035265167952e-5,8.550513526741389e-5
KEN,5,5,5.21938848,0.022648174992035544,47878339,1,1,NA,8458025977,0.0012163538087651704,0.27794011400437263,NA,NA,1336.883265088507,NA,0.02466668695419864,3.2320199474756215e-6,1.1999163128862929e-4
KIR,NA,NA,7.98818541,0.02842409873159826,110927,NA,1,NA,614162.7361,NA,NA,NA,NA,1542.6169682433583,NA,0.07392248956520955,0,2.704481325556447e-4
KWT,8,8,4.01473618,0.7472481403112118,3835588,1,1,6.2836451530456543,257188279,1.016793253081405e-5,0.16194335783718167,NA,NA,29869.55275323705,NA,1.809631274266162,3.8392190063166324e-5,6.70040682158772e-5
KGZ,NA,NA,7.14930916,0.03431012775101143,5956900,0,0,NA,574558894.3,NA,0.03287616041900989,NA,NA,1121.0828351073897,0.6728331850459132,0.6714902046366399,1.4077663069717472e-5,1.2976548204603064e-4
LAO,NA,NA,2.45366454,0.0032997288300529878,6741160,0,1,NA,659418715.1,NA,0.1675677479840265,NA,NA,2134.713062351227,0.45496620759631873,0.694835903613028,4.311413706246403e-6,1.4819407935726196e-4
LVA,NA,NA,5.68592453,0.13305810742407057,1977527,1,0,5.1635050773620605,331597433.9,0.13068797543598645,0.8810741901374798,0.0029698709549856967,1.7711234767187987e-5,13780.145983376207,0.8697732066363696,3.459876906863977,2.8896965093270534e-5,2.745853786067143e-4
LBN,34,19,7.67934227,0.30581257526580585,6532681,1,1,9.2991323471069336,600466981.7,1.1327661644583597e-5,0.6735654167102297,NA,NA,7644.545146579651,NA,NA,1.1070347079552789e-5,7.087442353300276e-5
LSO,NA,NA,8.4919643400000009,0.003191823647372452,2059011,0,1,NA,186551502.7,NA,0.034879852511715576,NA,NA,1146.0646878730809,NA,0.5254950070689277,5.1362276792110385e-06,6.265143799620303e-5
LBR,NA,NA,10.37773991,0.025441228523852423,4472229,1,1,NA,65429655.08,2.2360214559674828e-7,6.708064367902448e-7,NA,NA,710.3840165608693,NA,NA,3.3685534014470188e-6,0.001962332429757063
LBY,NA,NA,NA,0.12014773347833504,6418315,1,1,NA,448871394,5.297340501362118e-6,0.04966132076721071,NA,NA,4337.91913919348,NA,NA,4.763009704260386e-5,8.52248604189729e-5
LIE,NA,NA,NA,0.6270652609101829,37465,NA,0,NA,NA,NA,NA,NA,NA,167313.26628044868,NA,NA,NA,8.274389430134793e-4
LTU,NA,NA,6.49459124,0.04682967802789071,2904910,1,0,7.5617609024047852,830590708.4,0.30105442165161744,0.612934307775456,0.003990485075269113,1.3956332382203182e-5,14263.964577349487,1.370438326832845,1.737747468940518,2.14116569704397e-5,1.7212237212168362e-4
LUX,NA,NA,5.28378248,0.43771637839621913,569604,1,1,11.005009651184082,144857031.7,1.700548100083567,0.4361135104388312,0.0032864937746223694,1.2923086839698098e-5,101417.2743463989,NA,NA,NA,3.739440032022247e-4
MDG,NA,NA,5.72116804,0.0013235493156744551,24234080,1,1,NA,3132415171,4.4482810983540534e-5,7.992050863907357e-4,NA,NA,467.2355536735787,NA,NA,3.794940014227897e-6,1.289918990116398e-4
MWI,NA,NA,9.33333778,0.012848855246291422,16745305,1,1,NA,812758048.2,0.0025540293234431973,0.05426482228899385,NA,NA,380.59698768377405,NA,NA,2.9694531302953275e-6,4.8610640415328356e-5
MYS,5,5,3.81608534,0.08305790713972944,30270965,1,1,4.3265523910522461,5613225949,0.38595885529252205,1.4671302021590655,NA,NA,9955.242721676266,NA,NA,8.751898494151077e-6,6.973679233549376e-5
MDV,NA,NA,8.6903019,0.20682150912040517,454914,1,1,NA,NA,2.1982176851009202e-6,0.0016310775223448827,NA,NA,9033.459724271159,NA,NA,0,1.956413739739819e-4
MLI,NA,NA,4.11143351,0.02082400068078188,17438772,1,0,NA,2824027391,4.415448518966817e-6,0.003803249448986431,NA,NA,751.4728866226418,NA,NA,7.350162924316e-6,7.087655025250631e-5
MLT,NA,NA,9.20896149,0.0931169995483684,445053,1,1,NA,32883716.24,3.5707432597915303,9.166748679370771,0.003961325954436887,5.361316181945013e-5,24921.603682086854,1.0245970704612708,5.3544184625201945,0,3.0782850581840816e-4
MHL,NA,NA,17.35825539,0.05716872084116705,57444,NA,0,NA,NA,NA,NA,NA,NA,3199.886846319894,NA,NA,0,0.002176032309727735
MRT,NA,NA,4.70125389,0.034145234762390564,4046304,0,0,NA,459878339.8,NA,0.007251061709649102,NA,NA,1524.0717525480338,NA,NA,2.517104097961992e-5,1.576747570128196e-4
MUS,NA,NA,5.6999588,0.022639701252569092,1262605,1,1,NA,168385284.5,0.0027823428546536726,0.08737015931348284,NA,NA,9260.447302506327,NA,0.9298236582304046,0,4.847121625528174e-4
MEX,11,8,5.79708719,0.009791335344210709,121858251,1,0,2.4116613864898682,28569076756,0.6982404334688834,1.4882648775256095,NA,NA,9616.645558106033,0.7794958422634837,0.7150028765799371,1.074098530266941e-5,3.592698864519235e-5
FSM,NA,NA,12.49603271,0.025310875594658635,108886,NA,1,NA,6785578.254,NA,NA,NA,NA,2906.6170122880812,NA,NA,0,7.806329555682089e-4
MDA,NA,NA,8.55763531,0.05041541278448279,2834530,0,0,NA,345197341.9,NA,0.7829432039879627,NA,NA,2732.4571129373303,0.06695995456036803,NA,1.5112891332954668e-5,1.0689602861850112e-4
MCO,NA,NA,2.02833343,0.5578029318983114,37723,NA,1,NA,NA,NA,NA,NA,NA,165989.50511383187,NA,NA,NA,7.952707897038942e-5
MNG,NA,NA,4.23834133,0.005876402774382485,2998433,0,0,NA,788394449.4,NA,0.21862786328725706,NA,NA,3918.587015149647,NA,0.1557480190486164,7.371872031157608e-5,2.054406418285818e-4
MNE,NA,NA,NA,0.13266865865478117,622159,1,0,NA,51897058.16,0.02946674403167036,4.727929677140409,NA,NA,6517.163751625276,NA,NA,0,1.4787216772561355e-4
MAR,1,0,5.07174492,0.0025534272139241822,34663608,1,0,6.0296216011047363,3663843018,0.07954697041346648,1.4412123515820974,NA,NA,2918.905847203211,NA,0.30412298685122446,8.911685263692112e-6,9.456603594178655e-5
MOZ,1,0,7.23973656,0.008243768647150039,27042001,1,0,NA,847608704.1,5.546926797317994e-7,0.012578913816325945,NA,NA,589.8590499625305,NA,0.060424522578784015,4.973051868461953e-6,1.794985511612103e-4
MMR,NA,NA,5.4778142,0.0013915526293829979,52680724,1,0,NA,10614517784,2.4676957742646063e-7,0.015338703393673936,NA,NA,1144.4743412019109,NA,NA,2.4710477118727524e-6,5.332121099930214e-5
NAM,NA,NA,9.70993042,0.04055810594059962,2314901,1,1,NA,1378301037,0.007602484944280554,0.3057344568947009,NA,NA,4896.615259567039,NA,0.6427920675657404,4.180288735457801e-5,NA
NRU,NA,NA,15.1927681,0.30634278002699056,10374,NA,1,NA,NA,NA,NA,NA,NA,8365.072890101243,NA,NA,NA,8.675534991324465e-4
NPL,29,6,6.21927214,0.01918479981127545,27015033,1,0,NA,1370505532,1.8138049285373814e-6,0.23863798352569104,NA,NA,901.7496077150711,NA,NA,2.005057596635177e-6,6.600028954249288e-5
NLD,8,5,10.32396889,0.11685330564961836,16939923,1,0,4.1118221282958984,7568298492,11.327525160533492,19.939582960323964,0.011122541702226155,2.4895291880884762e-5,45193.403218797095,NA,NA,9.108845087430445e-5,1.6800548621147805e-4
NZL,16,11,9.31466961,0.22556862064476937,4609400,1,1,10.858542442321777,3797002624,3.291301687855252,1.9403156593048987,0.015274439189482363,1.8542520764926393e-5,37463.773278416935,NA,0.6788302165140799,3.467303197813165e-5,5.842408990324121e-4
