Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,52,Azerbaijan,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,14424308.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,52,Azerbaijan,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,4327292.604,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,52,Azerbaijan,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,2884861.736,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,12,Bahamas,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,750688.7864,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,12,Bahamas,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,225206.6359,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,12,Bahamas,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,150137.7573,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,13,Bahrain,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,94764.9642,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,13,Bahrain,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,28429.4892,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,13,Bahrain,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,18952.9928,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,16,Bangladesh,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,250796137.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,16,Bangladesh,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,75238841.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,16,Bangladesh,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,50159227.55,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,14,Barbados,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,1336428.451,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,14,Barbados,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,400928.5353,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,14,Barbados,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,267285.6902,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,57,Belarus,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,198844235.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
