iso3c,n_amr_events,pubs_sum,promed_mentions,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,country,region,continent,ab_export_perc,ab_import_perc,livestock_consumption_kg_per_capita,gdp_per_capita,tourism_outbound_perc,tourism_inbound_perc,pubs_sum_per_capita,promed_mentions_per_capita
UZB,0,281.506872,364,81847410181.7953,6.0955821,3.741022847448313,31298900,NA,NA,Uzbekistan,Central Asia,Asia,0,0.006441564844006106,NA,2615.0251344870044,11.15374661729326,6.128010888561579,8.99414586455115e-6,1.1629801686321245e-5
VAT,0,NA,1,NA,NA,NA,NA,FALSE,NA,Vatican City,Southern Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA
VCT,0,0,62,755458031.415067,3.50632727,4.193388793198226,109148,TRUE,NA,St. Vincent & Grenadines,Caribbean,Americas,NA,NA,NA,6921.409750202175,NA,189.6507494411258,0,5.680360611280097e-4
VEN,18,511.0596478,1834,NA,5.12893425,4.668758671555509,30081829,FALSE,8.0566320419311523,Venezuela,South America,Americas,NA,NA,NA,NA,NA,2.9320025720510543,1.6988981880057892e-5,6.096703760931558e-5
VNM,2,186.0189152,7511,193241108709.536,5.65262114,0.07854477411436675,92677076,NA,9.4232902526855469,Vietnam,South-Eastern Asia,Asia,8.366715761449235e-4,0.11976604951996898,NA,2085.1014840987864,NA,8.571699003537832,2.0071728978587972e-6,8.104485299039862e-5
VUT,0,0,74,737917151.424178,4.15322859,1.1754508907166303,271130,TRUE,NA,Vanuatu,Melanesia,Oceania,NA,NA,NA,2721.6359363559104,NA,105.85328071404861,0,2.7293180393169326e-4
WLF,0,0,3,NA,NA,NA,NA,NA,NA,Wallis & Futuna,Polynesia,Oceania,NA,NA,NA,NA,NA,NA,NA,NA
WSM,0,NA,4,804100573.408688,5.67470959,2.5471156976533877,193513,TRUE,NA,Samoa,Polynesia,Oceania,0,0.0019139210328827903,NA,4155.279352853235,NA,71.82979954835076,NA,2.067044591319446e-5
YEM,0,86.35354833,1389,42628328212.1041,5.60372913,1.2987110029783882,26497889,FALSE,NA,Yemen,Western Asia,Asia,0,0.004810453344069303,NA,1608.744312126302,NA,1.5020064428528628,3.25888406921774e-6,5.241927007845795e-5
ZAF,26,1506.029803,6538,317415623434.305,8.19779026,5.673798752678615,55386367,TRUE,8.7426633834838867,South Africa,Southern Africa,Africa,3.1024036225608546e-4,0.012005287527344057,NA,5730.934174366501,NA,25.190314432430636,2.719134481234344e-5,1.1804348893293543e-4
ZMB,0,84.48857988,1857,21154394545.895,4.43510226,0.8055424900284086,15879361,TRUE,NA,Zambia,Eastern Africa,Africa,0,0.00468854912320081,NA,1332.1943210369109,NA,NA,5.320653638392628e-6,1.1694425235373136e-4
ZWE,0,68.97168308,3590,19963120600,9.25619679,2.887272615138633,13814629,TRUE,NA,Zimbabwe,Eastern Africa,Africa,9.61773481446583e-6,0.008674217446745274,NA,1445.071061987984,NA,14.890012609097212,4.992655472687686e-6,2.5986944709119585e-4
