iso3c,n_amr_events,pubs_sum,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,livestock_consumption_kg_per_pcu,livestock_pcu,country,region,continent,ab_export_perc,ab_import_perc,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubs_sum_per_capita
BIH,0,21.17340202,16211541253.1897,9.34804253,1.0148537876298238,3429361,FALSE,7.459571361541748,6.23756906685118e-5,363459734.928806,Bosnia & Herzegovina,Southern Europe,Europe,4.235198796196567e-5,0.0019886357809228566,4727.27754622208,NA,NA,6.174153733013235e-6
BLM,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Barthélemy,Caribbean,Americas,NA,NA,NA,NA,NA,NA
BLR,0,131.8655574,56454734396.5842,6.06528028,11.411473340965536,9489616,FALSE,NA,6.66471616601194e-5,3284644093.431194,Belarus,Eastern Europe,Europe,0.008389446732188624,0.0811002845365795,5949.10630699748,7.346978002060357e-4,4.6218940787488133e-4,1.3895773801595343e-5
BLZ,0,2.68242444,1762500450,5.88424805,14.922437128220473,360933,TRUE,NA,5.7856951936193e-5,67809792.88017234,Belize,Central America,Americas,0,0.002605956781457843,4883.179011062995,NA,0.0035990059096840687,7.431917945989977e-6
BMU,0,NA,NA,NA,29.316819693741472,65239,NA,NA,NA,NA,Bermuda,Northern America,Americas,NA,NA,NA,NA,0.0091509679792762,NA
BOL,0,153.0160412,33000198263.3864,6.42235639,1.3154788573405227,10869730,FALSE,NA,5.13969241415067e-5,2977412189.067512,Bolivia,South America,Americas,0,0.01572888713750218,3035.972214892771,NA,NA,1.4077262379102332e-5
BRA,52,3424.678507,1802214373741.32,11.4647339,0.34898118380342275,204471769,FALSE,5.8552422523498535,5.34987171273098e-5,95641915775.75664,Brazil,South America,Americas,0.0027730813269594644,0.01485085086267413,8814.00098681261,NA,NA,1.6748906334350733e-5
BRB,0,0,4584150000,7.01271476,12.08275504338927,285324,TRUE,NA,5.53367089076472e-5,88522042.38343222,Barbados,Caribbean,Americas,0,0.002258740878897942,16066.471800479454,NA,0.00413214450939984,0
BRN,0,8.195549328,12930394937.8137,2.3870891,24.760488495012137,414907,TRUE,NA,7.03640126633121e-5,27401530.010099992,Brunei,South-Eastern Asia,Asia,0,0.001278137758319267,31164.562029114233,NA,NA,1.9752738150959132e-5
BTN,0,3.668957093,2059809919.89325,3.65892296,7.021250872401343,727876,FALSE,NA,3.76497686003515e-5,42557204.79710596,Bhutan,Southern Asia,Asia,NA,NA,2829.891245065437,NA,NA,5.040634796311459e-6
BWA,0,76.19816962,14420604205.7459,5.96507028,7.574988824529074,2120716,TRUE,NA,4.1486673885168895e-5,470587035.4012579,Botswana,Southern Africa,Africa,NA,NA,6799.875233527686,NA,7.827545036676293e-4,3.593039785619574e-5
CAF,0,58.19871156,1709221159.20294,6.30899109,1.8160452420006366,4493170,FALSE,NA,4.11281040579767e-5,375103779.6762799,Central African Republic,Middle Africa,Africa,0,8.289155516075494e-4,380.4042934504904,NA,NA,1.2952706343183098e-5
CAN,95,3801.184303,1552899925233.71,10.37650812,21.946397195432933,35702908,TRUE,7.2478880882263184,1.19103165960887e-4,8772481655.523087,Canada,Northern America,Americas,4.741632896203426e-4,0.01357848256630354,43495.05438699027,0.001567687427589932,7.717858724561035e-4,1.0646707833994923e-4
CHE,1,806.8839503,679832291693.257,11.89380635,29.444402320294756,8282396,FALSE,5.1586756706237793,3.9012316507597e-5,2952676098.5713215,Switzerland,Western Europe,Europe,0.19367674188593703,0.05439108850199203,82081.59712397921,0.0026666196593352937,NA,9.742156138151327e-5
