iso3c,n_amr_events,pubs_sum,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,livestock_consumption_kg_per_pcu,livestock_pcu,country,region,continent,ab_export_perc,ab_import_perc,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubs_sum_per_capita
KEN,5,154.7437467,64007750178.5974,4.89013852,2.2648176411143446,47878336,TRUE,NA,4.05125294090411e-5,6211567919.035171,Kenya,Eastern Africa,Africa,4.427276372147122e-5,0.019216015194536126,1336.8833490495033,NA,2.466668849978412e-5,3.232020149990175e-6
KGZ,0,83.85923114,6678178340.45121,7.21937462,3.431012775101143,5956900,FALSE,NA,4.5976193545202e-5,187633665.6683702,Kyrgyzstan,Central Asia,Asia,0,0.002523034896798156,1121.0828351073897,6.728331850459131e-4,6.714902046366398e-4,1.4077663069717472e-5
KHM,0,34.5656758,18049954289.4229,6.17148507,0.47652163111712087,15521436,FALSE,NA,4.06859599368106e-5,1132706538.7093103,Cambodia,South-Eastern Asia,Asia,0,0.028196787750218305,1162.9049199715091,NA,NA,2.2269637809285174e-6
KIR,0,0,171117872.436331,7.84410495,2.8423330027945553,110930,TRUE,NA,NA,NA,Kiribati,Micronesia,Oceania,NA,NA,1542.5752495838005,NA,7.392049039935094e-5,0
KNA,0,0,936314411.47037,5.15236898,14.536257641153838,51203,TRUE,NA,5.9911882073779e-5,1057266.876414377,St. Kitts & Nevis,Caribbean,Americas,NA,NA,18286.3193850042,NA,0.020233189461554987,0
KOR,46,905.8049745,1382764027113.82,7.04921624,2.601833537139615,51014947,FALSE,10.941156387329102,1.8792734069775598e-4,3080606405.086061,South Korea,Eastern Asia,Asia,0.01943314239891498,0.014995498484495367,27105.076226264042,3.785165159536479e-4,2.5937496318480935e-4,1.7755678046671302e-5
KWT,4,147.2566235,114567298105.683,4.01473617,74.724755585254,3835591,FALSE,6.2836451530456543,6.69130381226349e-5,135807663.82308125,Kuwait,Western Asia,Asia,0,5.356802160367587e-4,29869.529390824777,NA,0.0018096298588665997,3.839216003478994e-5
LAO,0,29.06392962,14390391264.2607,2.45366446,0.3299726872095086,6741164,FALSE,NA,3.67770173913275e-5,518688763.6127385,Laos,South-Eastern Asia,Asia,0,8.004368879536343e-4,2134.7042238196104,4.5496593763332265e-4,6.9483549131871e-4,4.311411147985719e-6
LBN,24,72.31904603,49973893200.6633,7.82593249,30.58127157040344,6532678,FALSE,9.2991323471069336,6.739277739691959e-5,532567156.35199374,Lebanon,Western Asia,Asia,0,0.01691465374942572,7649.8326108623905,NA,NA,1.1070352163385368e-5
LBR,0,15.06494221,3177000000,10.18906067,2.544122283514041,4472230,TRUE,NA,2.3470974040702198e-5,87595669.67131612,Liberia,Western Africa,Africa,NA,NA,710.3838577175145,NA,NA,3.368552648231419e-6
LBY,0,305.7049663,27842131479.8726,NA,12.014773347833504,6418315,FALSE,NA,6.40912604005068e-5,723843852.5321548,Libya,Northern Africa,Africa,0,0.0011448225515004948,4337.91913919348,NA,NA,4.763009704260386e-5
LCA,0,0,1640925666.66667,5.39024405,7.129618257539386,179126,TRUE,NA,NA,NA,St. Lucia,Caribbean,Americas,NA,NA,9160.734157334335,NA,0.005755725020376718,0
LIE,0,NA,6268391521.19701,NA,62.69815852682146,37470,FALSE,NA,NA,NA,Liechtenstein,Western Europe,Europe,NA,NA,167290.9399839074,NA,NA,NA
LKA,0,49.27838427,80604080688.5775,3.88992047,0.18457796852646638,20970000,FALSE,3.8522536754608154,3.52456078063285e-5,729403123.5043929,Sri Lanka,Southern Asia,Asia,0,0.008016108967192327,3843.780671844421,NA,9.504053409632809e-5,2.349946793991416e-6
LSO,0,10.57554929,2510312801.2603,8.34570567,0.31918081457158526,2059021,TRUE,NA,3.3882072697792405e-5,737316777.580806,Lesotho,Southern Africa,Africa,NA,NA,1219.1778526106825,NA,5.254924549093963e-4,5.136202734212035e-6
LTU,0,62.19893645,41516701871.248,6.47636009,4.682967802789071,2904910,FALSE,7.5617609024047852,1.95690794536008e-5,2984599509.670549,Lithuania,Northern Europe,Europe,0.002118046594180403,0.003644041317857512,14291.906417495895,0.0013704383268328452,0.001737747468940518,2.14116569704397e-5
LUX,0,NA,57204400105.015,6.18960579,43.77163783962191,569604,FALSE,11.005009651184082,3.21819877375358e-5,133173231.94811805,Luxembourg,Western Europe,Europe,NA,NA,100428.36796268109,NA,NA,NA
LVA,0,57.14452869,26972863393.6384,5.71063679,13.305810742407058,1977527,FALSE,5.1635050773620605,2.2061517692644098e-5,539053578.056577,Latvia,Northern Europe,Europe,9.5069624703056e-4,0.005307748788501474,13639.694119796291,8.697732066363696e-4,0.003459876906863977,2.8896965093270534e-5
MAR,1,308.9111646,101179808076.36,5.41232575,0.25534275822395036,34663603,FALSE,6.0296216011047363,5.88816759381771e-5,3570355151.3851047,Morocco,Northern Africa,Africa,0.0027281360110080416,0.05026446979580951,2918.9062682364556,NA,3.0412303071899365e-4,8.911686549144934e-6
MCO,0,NA,6258178995.23123,2.02911782,55.787687576223554,37718,FALSE,NA,NA,NA,Monaco,Western Europe,Europe,NA,NA,165920.22363940903,NA,NA,NA
MDA,0,42.83794387,7745231660.33425,10.17688536,4.020811973074538,3554108,FALSE,NA,4.4268155737631196e-5,427811941.9142071,Moldova,Eastern Europe,Europe,0,0.041567727102187924,2179.233624958569,5.340299169299301e-5,NA,1.2053078823153375e-5
MDG,0,91.9668799,9744243531.20119,5.50418518,0.13235488787529368,24234088,FALSE,NA,4.05163919371517e-5,1619950516.1578693,Madagascar,Eastern Africa,Africa,0,2.307178584772977e-4,402.08831176981744,NA,NA,3.7949387614669055e-6
MDV,0,0,4109424799.72407,8.89896749,20.682105448270555,454915,FALSE,NA,NA,NA,Maldives,Southern Asia,Asia,NA,NA,9033.390412987195,NA,NA,0
MEX,11,1308.877683,1170564619927.69,5.65276786,0.9791334781759312,121858258,FALSE,2.4116613864898682,6.21094306091953e-5,22526718712.743877,Mexico,Central America,Americas,0.007634344906607582,0.015229527916281332,9605.952351031392,7.794957974862894e-4,7.150028355074631e-4,1.0740984685666522e-5
MHL,0,0,179697900,22.62079944,5.71736973136719,57439,TRUE,NA,NA,NA,Marshall Islands,Micronesia,Oceania,NA,NA,3128.4997997876008,NA,NA,0
MKD,0,37.56809093,10064515432.0265,6.35398538,6.287127379614953,2079328,FALSE,NA,5.87650406947548e-5,117011374.47511122,Macedonia,Southern Europe,Europe,6.388981211691851e-4,0.027869479151220546,4840.273122867821,NA,NA,1.8067419344134258e-5
MLI,0,128.1778154,13099495529.7113,4.11122936,2.082399351605944,17438778,FALSE,NA,4.31806457888169e-5,1422521010.5623686,Mali,Western Africa,Africa,0,5.062714044947776e-4,751.1704965629644,NA,NA,7.350160395413027e-6
MLT,0,0,10701866983.4752,9.35561461,9.31169995483684,445053,TRUE,NA,7.134026825357699e-5,63191220.96204251,Malta,Southern Europe,Europe,0.014851726361897582,0.021085368781767845,24046.275350295808,0.0010245970704612709,0.0053544184625201946,0
MMR,0,130.1765825,59687410896.5734,5.19360297,0.139155257655333,52680726,FALSE,NA,3.70960841537771e-5,5818344442.255197,Myanmar (Burma),South-Eastern Asia,Asia,0,0.0013532066274403753,1133.0028158035143,NA,NA,2.4710476180605407e-6
MNE,0,0,4052913385.82677,NA,13.266865865478117,622159,FALSE,NA,3.34076333861286e-5,37155289.28169961,Montenegro,Southern Europe,Europe,4.2804887123096074e-4,0.07649210863576317,6514.272695286526,NA,NA,0
MNG,0,221.0406437,11749620619.5962,3.8824954,0.5876391015458376,2998439,FALSE,NA,4.63538132788646e-5,251135207.0096645,Mongolia,Eastern Asia,Asia,0,0.0058340570490994954,3918.5791738955504,NA,1.5574770739041214e-4,7.37185727973789e-5
MNP,0,0,931000000,NA,38.80960917891718,55780,NA,NA,NA,NA,Northern Mariana Islands,Micronesia,Oceania,0,0.0029570354457572503,16690.570096808893,NA,0.008587307278594478,0
MOZ,0,134.4812736,14798413628.4625,5.18223307,0.8243768342299509,27042002,FALSE,NA,3.5887047651419896e-5,1306712395.424783,Mozambique,Eastern Africa,Africa,0,0.0010719780105003165,547.2380938534988,NA,6.0424520344314745e-5,4.973051684560929e-6
MRT,0,101.8496838,4832547925.29075,4.64444537,3.4145260078278903,4046301,FALSE,NA,4.71878056745214e-5,1577234265.440266,Mauritania,Western Africa,Africa,0,5.934343630596191e-4,1194.312515379046,NA,NA,2.5171059641880322e-5
MSR,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Montserrat,Caribbean,Americas,NA,NA,NA,NA,NA,NA
MUS,0,0,11692287066.381,5.78975132,2.2639701252569093,1262605,TRUE,NA,6.87579314652901e-5,2618702.642817085,Mauritius,Eastern Africa,Africa,6.520289791652963e-5,0.001137602158113706,9260.447302506327,NA,9.298236582304046e-4,0
MWI,0,49.72439835,6373212640.84604,9.33346903,1.284885678091343,16745303,TRUE,NA,4.15826197855471e-5,1030874888.4024386,Malawi,Eastern Africa,Africa,6.70995970319972e-4,0.014432459135364667,380.59703314093747,NA,NA,2.969453484956349e-6
MYS,1,264.928413,296636282166.176,3.89755195,8.30579153711732,30270962,FALSE,4.3265523910522461,7.69447812416885e-5,5042643055.585736,Malaysia,South-Eastern Asia,Asia,0.0039297900192362956,0.015472526784261802,9799.367531371352,NA,NA,8.751899361506912e-6
NAM,0,96.76954574,11650656642.2655,9.86479841,4.0558053379319405,2314904,TRUE,NA,4.08548924417077e-5,390146514.4158039,Namibia,Southern Africa,Africa,NA,NA,5032.889762281934,NA,6.427912345393157e-4,4.180283318012323e-5
NCL,0,0,NA,NA,23.601321585903083,272400,NA,NA,NA,NA,New Caledonia,Melanesia,Oceania,NA,NA,NA,NA,0.002048458149779736,0
NER,0,117.7397388,7217667780.59665,7.09101535,0.9461963237756781,20001663,FALSE,NA,4.08581683351669e-5,6158339446.891745,Niger,Western Africa,Africa,0,7.061699367352515e-4,360.853384070947,NA,NA,5.886497477734726e-6
NFK,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norfolk Island,Australia and New Zealand,Oceania,NA,NA,NA,NA,NA,NA
NGA,6,937.8477524,494583180777.103,3.57255253,0.6619917710224117,181137448,TRUE,NA,4.3062000162618605e-5,5628159327.727832,Nigeria,Western Africa,Africa,0,0.004603982683807062,2730.4303237014965,NA,3.3217868896993625e-5,5.177547562666335e-6
NIC,0,26.10348951,12756717322.7625,7.9155865500000004,0.6469620326389469,6223240,FALSE,NA,4.4990885024373904e-5,1080490806.3657186,Nicaragua,Central America,Americas,0,0.009594754112925227,2049.851415462444,NA,2.3396173054550363e-4,4.194517568019231e-6
NIU,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Niue,Polynesia,Oceania,NA,NA,NA,NA,NA,NA
NLD,6,1543.031344,765264949780.999,10.39499588,11.685330564961836,16939923,TRUE,4.1118221282958984,3.7830818760623e-5,25606332792.5633,Netherlands,Western Europe,Europe,0.03338561152488623,0.04373895465822506,45175.23189337986,NA,NA,9.108845087430445e-5
NOR,12,401.8052176,386663139402.707,10.10889268,14.29695870201771,5188607,FALSE,5.924830436706543,8.57199121604553e-6,7140070000.087434,Norway,Northern Europe,Europe,1.5588693841649912e-4,7.236659367951148e-4,74521.56993248996,NA,NA,7.743990200067186e-5
NPL,30,54.16669714,21410840908.5198,6.21927182,1.9184801231581041,27015031,FALSE,NA,1.2931702563816501e-5,3453917970.001842,Nepal,Southern Asia,Asia,0,0.032225461528951234,792.5528905933811,NA,NA,2.005057745075325e-6
NRU,0,NA,99964019.3044941,11.35382965,25.4749498997996,12475,TRUE,NA,NA,NA,Nauru,Micronesia,Oceania,NA,NA,8013.147840039607,NA,NA,NA
NZL,16,159.8218736,177208110322.704,9.30662416,22.624105141762954,4595700,TRUE,10.858542442321777,9.70953668211996e-6,14147028511.914648,New Zealand,Australia and New Zealand,Oceania,0.009651220177708076,0.0027806336578087673,38559.54703803643,NA,6.808538416345714e-4,3.4776393933459536e-5
OMN,0,71.50132555,68921456436.9311,4.30537627,43.234767823013264,4267348,FALSE,NA,4.61654355620877e-5,40748356.01490933,Oman,Western Asia,Asia,0.007494462924948016,0.003995308721486171,16150.88725759678,0.0012710470296774484,6.172451836597343e-4,1.6755447540252167e-5
PAK,7,651.2182722,270556126820.064,2.68711914,1.8196917443921976,199426964,TRUE,7.0677900314331055,4.4144257710855595e-5,11594169219.558048,Pakistan,Southern Asia,Asia,3.0863585674973347e-4,0.033398293855712816,1356.6677313508317,NA,NA,3.2654474557412406e-6
PAN,0,42.08753693,54091700000,6.79468654,4.654418673917793,3968487,FALSE,NA,5.9087117575920095e-5,619369989.0524063,Panama,Central America,Americas,5.830284498361116e-4,0.002326076884253961,13630.307973794546,NA,6.433182217807442e-4,1.0605436512706228e-5
PCN,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pitcairn Islands,Polynesia,Oceania,NA,NA,NA,NA,NA,NA
PER,0,268.7288427,189759138299.209,5.12107095,0.29825668131263267,30470734,FALSE,3.3637797832489014,6.35582272472092e-5,4531792414.907837,Peru,South America,Americas,1.3940831644317322e-4,0.018046979901437898,6227.5867164607525,NA,1.4377730447845465e-4,8.819244154079122e-6
PHL,6,295.760242,292774099013.687,4.32136857,0.20747755931916037,102113212,TRUE,2.2495124340057373,5.79905085854741e-5,7580209138.17606,Philippines,South-Eastern Asia,Asia,2.9333655295779804e-4,0.013645977046669103,2867.1519902212754,NA,NA,2.8963954439118026e-6
PLW,0,0,293124000,10.51146942,32.06340220775545,17665,TRUE,NA,NA,NA,Palau,Micronesia,Oceania,NA,NA,16593.489951882253,NA,NA,0
PNG,6,89.29565693,21723378124.5485,2.50788426,0.3179910641328848,8107775,TRUE,NA,3.95948602545567e-5,275308901.73823935,Papua New Guinea,Melanesia,Oceania,0,6.664248956583907e-5,2679.32671103336,NA,2.4544341696704708e-5,1.1013583496088631e-5
POL,28,1335.479042,477577397532.829,6.34338904,1.6305909597358128,37986412,FALSE,9.2699079513549805,6.719429654712379e-5,14196172150.137077,Poland,Eastern Europe,Europe,2.9867177914380864e-4,0.005285619283995698,12572.321848476477,0.0011662064845713777,0.002046600242212926,3.515675663181876e-5
PRI,0,20.36518309,103375500000,NA,7.917041684733756,3473166,NA,NA,5.7271384031498104e-5,350724261.25162315,Puerto Rico,Caribbean,Americas,NA,NA,29764.053892039712,NA,0.0014542927116066437,5.863578962249428e-6
PRK,0,59.7502131,NA,NA,0.19241709552314773,25183833,FALSE,NA,3.9699997696756395e-5,613675499.4278382,North Korea,Eastern Asia,Asia,NA,NA,NA,NA,NA,2.3725623140845956e-6
PRT,8,356.7962681,199420256049.689,8.97184486,8.083132427296343,10358076,FALSE,9.2659244537353516,8.75573108262956e-5,1877575354.0406275,Portugal,Southern Europe,Europe,0.018727686163783886,0.0350041338943055,19252.63495360422,NA,NA,3.44461913679722e-5
PRY,0,82.53539939,36164068797.2511,7.81978742,2.339182860285022,6688746,FALSE,NA,4.14326262516461e-5,3418871782.961159,Paraguay,South America,Americas,2.4897640944329836e-5,0.025682479872690615,5406.70385708339,7.877410803161011e-4,6.132689146814665e-4,1.2339442907534536e-5
PSE,28,81.30788612,12673000000,NA,5.983641570251883,4270092,FALSE,NA,3.97635168282956e-5,6892228.710843865,Palestinian Territories,Western Asia,Asia,2.68050185433599e-5,0.022977133670007102,2967.851746519747,NA,4.8102008106616905e-4,1.90412492564563e-5
PYF,0,0,NA,NA,11.005257685153996,273124,NA,NA,NA,NA,French Polynesia,Polynesia,Oceania,NA,NA,NA,NA,8.75060412120502e-4,0
QAT,0,57.03365499,161739835164.835,3.09957023,65.77672457136622,2565710,FALSE,NA,6.45638903474808e-5,28358063.924973443,Qatar,Western Asia,Asia,7.915316586636056e-4,2.9831859263876865e-5,63039.01655480744,NA,NA,2.2229189966909746e-5
ROU,0,358.360896,177893451831.141,4.94411454,1.1452813080843205,19815481,FALSE,NA,6.81940633272235e-5,4152774633.3418097,Romania,Eastern Europe,Europe,0.009951620044342165,0.02573812303864964,8977.498544251386,6.620076494736615e-4,4.708944486384156e-4,1.8084895138301212e-5
RUS,0,5610.526447,1363594369511.4,5.27700319,8.080172733800532,144096870,FALSE,6.2389521598815918,7.42058340820065e-5,19330308711.017426,Russia,Eastern Europe,Europe,2.1176267477803333e-4,0.00638433355010067,9463.039478313442,2.3976926077575453e-4,2.3407170468033066e-4,3.8935796780318684e-5
RWA,0,34.02701723,8277613193.57631,6.51938268,3.8835626939087637,11369071,TRUE,NA,3.94573143347508e-5,406080867.8086925,Rwanda,Eastern Africa,Africa,0,0.0023180291892462793,728.0817573904069,NA,1.1416939871340411e-4,2.992946145731696e-6
ESH,0,45.57969185,NA,NA,NA,NA,NA,NA,NA,NA,Western Sahara,Northern Africa,Africa,NA,NA,NA,NA,NA,NA
SAU,5,679.108282,654269902880,5.99834034,32.11442064764726,31717667,FALSE,11.117453575134277,6.91326174993267e-5,2286464171.2515187,Saudi Arabia,Western Asia,Asia,4.4509154206564656e-5,0.011231146523253322,20627.932782067484,7.89906773408019e-4,6.883860657216686e-4,2.1411041423696137e-5
SDN,0,382.9015267,96741742021.6738,6.80492247,1.2941872017417702,38902950,TRUE,NA,7.04977084308943e-6,271930139665.8537,Sudan,Northern Africa,Africa,0,0.008055020870157756,2486.745658662744,NA,NA,9.842480498265555e-6
SSD,0,NA,12374452028.1893,NA,7.690820293070197,10715658,TRUE,NA,NA,NA,South Sudan,Northern Africa,Africa,0,0.0025159417103139082,1154.8009490587792,NA,NA,NA
SEN,3,44.90255608,17767704596.9267,5.58568729,1.8056915343384372,14578459,FALSE,NA,3.9086176784292695e-5,614412116.4590223,Senegal,Western Africa,Africa,0,3.510878383851e-4,1218.7642464081218,NA,6.955467652651079e-5,3.0800618968026728e-6
SGP,2,NA,308004146057.608,4.18938631,45.95550281643981,5535002,TRUE,5.6566071510314941,9.052715357492179e-5,892733442.212356,Singapore,South-Eastern Asia,Asia,0.0537956983894007,0.028162917727015246,55646.6187469504,NA,0.0027517605233024307,NA
SGS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Georgia & South Sandwich Islands,NA,NA,NA,NA,NA,NA,NA,NA
SHN,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Helena,Western Africa,Africa,NA,NA,NA,NA,NA,NA
SLB,0,0,1154650066.30195,5.24872732,0.42860601076406274,603118,TRUE,NA,NA,NA,Solomon Islands,Melanesia,Oceania,NA,NA,1914.4679255169801,NA,NA,0
SLE,0,11.47934231,4218723875.1379,20.4146101,1.2718083345673135,7171914,TRUE,NA,3.64239766039289e-5,102420077.38987456,Sierra Leone,Western Africa,Africa,0,0.0021106856631400027,588.2284527028489,NA,4.322416582240111e-6,1.6005967598049837e-6
SLV,0,28.45024766,23438240000,6.86405934,0.6647300511420804,6325124,FALSE,NA,5.75993186742325e-5,601988193.4886742,El Salvador,Central America,Americas,6.618893739461666e-4,0.041733053804381214,3705.5779459817704,2.558052616834073e-4,3.119306435731537e-4,4.497974689508063e-6
SOM,0,91.50427774,6669000749.18274,NA,0.1833052950377399,13797201,FALSE,NA,4.2645061278499706e-5,1619130343.5566676,Somalia,Eastern Africa,Africa,0,0.0013163291368764327,483.35896166061076,NA,NA,6.63208992461587e-6
SPM,0,0,NA,NA,NA,NA,NA,NA,NA,NA,St. Pierre & Miquelon,Northern America,Americas,NA,NA,NA,NA,NA,NA
SRB,16,NA,39628549949.7295,9.40507907,11.379808531829783,7095383,FALSE,10.637495994567871,7.20909584013573e-5,409182758.8103704,Serbia,Southern Europe,Europe,0.011046393258277372,0.026923987739987516,5585.1178082605975,NA,NA,NA
STP,0,0,318265835.263324,5.349902,1.2004091620201371,199432,FALSE,NA,NA,NA,São Tomé & Príncipe,Middle Africa,Africa,0,0.07287250917400832,1595.8614227572507,NA,NA,0
SUR,0,16.4987714,4787367928.11777,6.70557138,8.376390297294252,559143,FALSE,NA,4.33707886598757e-5,119520977.98379816,Suriname,South America,Americas,0,3.8643363697499576e-5,8561.974178551409,NA,4.0955533736450247e-4,2.950724841409085e-5
SVK,17,139.6366143,87769595120.4718,6.86754028,3.2668971446408155,5423801,FALSE,9.2411832809448242,3.2852170056872504e-5,1756931633.5001833,Slovakia,Eastern Europe,Europe,0.009755455255601245,0.0034539912549886036,16182.303723988362,5.120025605659205e-4,0.003973228368813679,2.5745158109598783e-5
SVN,0,25.10087488,43102044290.9563,8.50174063,11.435059613836671,2063531,FALSE,6.2749266624450684,1.0836569889506499e-5,2711883823.4517336,Slovenia,Southern Europe,Europe,0.043620064452360253,0.10880815887389426,20887.519640342838,0.0023789320344593805,NA,1.2164040608064526e-5
SWE,13,785.8891986,498117638852.897,11.00812884,16.733747068378946,9799186,FALSE,4.8191709518432617,8.469552690137339e-6,14144465442.257586,Sweden,Northern Europe,Europe,1.884558559624154e-4,0.0024506571817275056,50832.55270926554,NA,NA,8.01994368307735e-5
SWZ,0,2.9850698,4020275298.02726,7.772143,2.8603026690965216,1104044,TRUE,NA,3.67030106528176e-5,119321623.08938912,Swaziland,Southern Africa,Africa,NA,NA,3641.408583378253,NA,NA,2.7037598139204598e-6
SXM,0,NA,NA,NA,70.3026400515132,38825,NA,NA,NA,NA,Sint Maarten,Caribbean,Americas,NA,NA,NA,NA,0.06199613650998068,NA
SYC,0,0,1377495054.04127,3.34871697,13.692075487855789,93419,TRUE,NA,NA,NA,Seychelles,Eastern Africa,Africa,0,6.035085190041583e-4,14745.341462028817,NA,0.0031685203224183518,0
SYR,0,136.3302002,NA,NA,4.862861363147404,17997408,FALSE,NA,5.22270567694908e-5,936516312.2125969,Syria,Western Asia,Asia,NA,NA,NA,NA,NA,7.574990809787721e-6
TCA,0,0,893501650,NA,32.48381090019733,35981,NA,NA,NA,NA,Turks & Caicos Islands,Caribbean,Americas,NA,NA,24832.59637030655,NA,0.03657485895333648,0
TCD,0,119.9903055,10945989471.6286,4.54621344,3.663588093664683,14110975,FALSE,NA,4.03413565673755e-5,7862809010.664854,Chad,Middle Africa,Africa,0,7.374481787071364e-4,775.7075235147536,NA,NA,8.503332016391497e-6
TGO,0,90.89763042,4179185205.16122,6.24938169,3.7803909187812144,7323158,FALSE,NA,4.16249508978377e-5,171385485.23215646,Togo,Western Africa,Africa,0,0.016148993568567263,570.6807370756196,NA,NA,1.2412354126457464e-5
THA,0,315.5859027,401295970240.337,3.6669476,5.694951390980575,68714511,FALSE,7.0452852249145508,7.08027500316815e-5,9153935089.970469,Thailand,South-Eastern Asia,Asia,0.006643040066919764,0.04158194708510609,5840.04694787593,NA,NA,4.592711177119488e-6
TJK,0,43.9139413,7854602391.65355,6.85367879,3.2535851549107715,8454028,NA,NA,3.9573095631236595e-5,360679470.9784095,Tajikistan,Central Asia,Asia,0,1.3768997411622294e-4,929.095857223746,NA,4.897073915534701e-5,5.1944400113176816e-6
TKM,0,88.68570821,35799714285.7143,6.2979362,3.528766800346505,5565287,NA,NA,4.57071312093983e-5,417785709.2578551,Turkmenistan,Central Asia,Asia,0,0.0014053464113839688,6432.680701950197,NA,NA,1.593551387556473e-5
TLS,0,6.892868324,3092624754.7917,3.49424362,0.9056241651355594,1196302,FALSE,NA,2.24950758902276e-5,95914678.39466904,Timor-Leste,South-Eastern Asia,Asia,NA,NA,2585.1538781943855,NA,NA,5.761812923492563e-6
TON,0,0,435438217.281663,4.66809287,5.686587749675038,100781,TRUE,NA,NA,NA,Tonga,Polynesia,Oceania,NA,NA,4320.637990113841,NA,7.203738799972216e-4,0
TTO,5,32.07747104,25121524774.9867,6.21744691,3.6402233625818052,1370328,TRUE,NA,7.95703467873119e-5,344316444.08302325,Trinidad & Tobago,Caribbean,Americas,0,3.6994569729515634e-4,18332.490305231084,NA,3.787414400056045e-4,2.3408608041286466e-5
TUN,41,134.3173588,43152528548.124,7.00675038,0.5071668931584572,11179949,NA,18.026027679443359,6.09372838654622e-5,740727507.340888,Tunisia,Northern Africa,Africa,7.85756968150458e-4,0.09381362175533497,3859.8144363739048,NA,NA,1.201412983189816e-5
TUR,26,816.6439876,859796872677.614,4.13853307,3.775548597341411,78529409,FALSE,18.456716537475586,5.9155291978020895e-5,6646487836.909445,Turkey,Western Asia,Asia,0.0011703702397360442,0.022916370163849058,10948.72460682359,NA,5.23549082102477e-4,1.039921219323069e-5
TWN,8,79.42511126,NA,NA,NA,NA,FALSE,8.690363883972168,2.5206507756452598e-5,7111200165.543762,Taiwan,Eastern Asia,Asia,NA,NA,NA,NA,NA,NA
TZA,0,265.6569422,47378599025.3044,3.78969995,0.5073982909926149,51482633,TRUE,NA,3.9822894048376496e-5,9589232771.072956,Tanzania,Eastern Africa,Africa,0,0.0035651582249147094,920.2831375253165,NA,2.2085117519144758e-5,5.1601273423602865e-6
UGA,0,303.8909688,27102650386.6012,6.33395034,1.9606595636682187,38225453,TRUE,NA,3.97999984488632e-5,3636005615.5216055,Uganda,Eastern Africa,Africa,1.1411610878945695e-4,0.006137788505076943,709.021038589162,NA,NA,7.949963831690889e-6
UKR,0,538.7118864,91030959454.6961,6.9562258,10.707567202917817,45154029,FALSE,NA,6.2412405170006e-5,5781414743.602506,Ukraine,Eastern Europe,Europe,0.014770797309559004,0.039066317352942505,2016.009677778612,5.168088101285491e-4,2.8845709427169835e-4,1.1930538610408387e-5
URY,9,86.69942688,53274304222.136,9.00828933,2.1043027729411032,3412009,FALSE,6.6124024391174316,4.06193466893389e-5,5165648347.480396,Uruguay,South America,Americas,3.8341523738779715e-4,0.012306300468352014,15613.764272642891,NA,9.630689719751619e-4,2.5410081532610262e-5
USA,124,44207.0894,18219297584000,16.81565916,14.53723059793793,320742673,TRUE,10.297452926635742,8.820449591488671e-5,96398903762.06662,United States,Northern America,Americas,0.007394842811904971,0.004286470162471221,56803.47243349188,4.0644420270202086e-4,5.504599632740481e-4,1.3782727750728696e-4
UZB,0,281.506872,81847410181.7953,6.0955821,3.741022847448313,31298900,NA,NA,4.1005828800965295e-5,2171746944.653154,Uzbekistan,Central Asia,Asia,0,0.006441564844006106,2615.0251344870044,1.115374661729326e-4,6.128010888561578e-5,8.99414586455115e-6
VAT,0,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,Vatican City,Southern Europe,Europe,NA,NA,NA,NA,NA,NA
VCT,0,0,755458031.415067,3.50632727,4.193388793198226,109148,TRUE,NA,NA,NA,St. Vincent & Grenadines,Caribbean,Americas,NA,NA,6921.409750202175,NA,0.0018965074944112582,0
VEN,18,511.0596478,NA,5.12893425,4.668758671555509,30081829,FALSE,8.0566320419311523,5.61165112417297e-5,6695678280.659567,Venezuela,South America,Americas,NA,NA,NA,NA,2.9320025720510544e-5,1.6988981880057892e-5
VNM,2,186.0189152,193241108709.536,5.65262114,0.07854477411436675,92677076,NA,9.4232902526855469,6.07219160096649e-5,9453242703.842083,Vietnam,South-Eastern Asia,Asia,8.366715761449235e-4,0.11976604951996898,2085.1014840987864,NA,8.571699003537832e-5,2.0071728978587972e-6
VUT,0,0,737917151.424178,4.15322859,1.1754508907166303,271130,TRUE,NA,3.0732698217014e-5,53497954.013093896,Vanuatu,Melanesia,Oceania,NA,NA,2721.6359363559104,NA,0.001058532807140486,0
WLF,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Wallis & Futuna,Polynesia,Oceania,NA,NA,NA,NA,NA,NA
WSM,0,NA,804100573.408688,5.67470959,2.5471156976533877,193513,TRUE,NA,NA,NA,Samoa,Polynesia,Oceania,0,0.0019139210328827903,4155.279352853235,NA,7.182979954835076e-4,NA
YEM,0,86.35354833,42628328212.1041,5.60372913,1.2987110029783882,26497889,FALSE,NA,5.11369938914468e-5,679042951.5340893,Yemen,Western Asia,Asia,0,0.004810453344069303,1608.744312126302,NA,1.5020064428528627e-5,3.25888406921774e-6
